,Date,Price,Change %
0,"Dec 31, 2020",204.58,0.62%
1,"Dec 30, 2020",203.32,-0.33%
2,"Dec 29, 2020",204.0,-0.01%
3,"Dec 28, 2020",204.02,0.41%
4,"Dec 24, 2020",203.19,0.32%
5,"Dec 23, 2020",202.54,0.16%
6,"Dec 22, 2020",202.21,0.30%
7,"Dec 21, 2020",201.61,-0.62%
8,"Dec 18, 2020",202.86,-0.24%
9,"Dec 17, 2020",203.34,0.30%
10,"Dec 16, 2020",202.74,0.14%
11,"Dec 15, 2020",202.46,0.70%
12,"Dec 14, 2020",201.05,-0.23%
13,"Dec 11, 2020",201.51,0.01%
14,"Dec 10, 2020",201.49,-0.44%
15,"Dec 09, 2020",202.39,-0.29%
16,"Dec 08, 2020",202.97,0.40%
17,"Dec 07, 2020",202.16,-0.07%
18,"Dec 04, 2020",202.3,0.85%
19,"Dec 03, 2020",200.6,-0.38%
20,"Dec 02, 2020",201.37,-0.18%
21,"Dec 01, 2020",201.74,0.42%
22,"Nov 30, 2020",200.89,-0.80%
23,"Nov 27, 2020",202.51,0.12%
24,"Nov 26, 2020",202.27,0.03%
25,"Nov 25, 2020",202.21,-0.23%
26,"Nov 24, 2020",202.68,1.12%
27,"Nov 23, 2020",200.43,0.57%
28,"Nov 20, 2020",199.29,-0.36%
29,"Nov 19, 2020",200.01,0.43%
30,"Nov 18, 2020",199.15,-0.58%
31,"Nov 17, 2020",200.32,-0.44%
32,"Nov 16, 2020",201.2,1.13%
33,"Nov 13, 2020",198.95,0.82%
34,"Nov 12, 2020",197.34,-1.27%
35,"Nov 11, 2020",199.88,1.48%
36,"Nov 10, 2020",196.96,0.13%
37,"Nov 09, 2020",196.7,1.74%
38,"Nov 06, 2020",193.34,-0.25%
39,"Nov 05, 2020",193.83,1.07%
40,"Nov 04, 2020",191.77,2.17%
41,"Nov 03, 2020",187.69,1.21%
42,"Nov 02, 2020",185.44,1.37%
43,"Oct 30, 2020",182.93,-1.01%
44,"Oct 29, 2020",184.8,1.33%
45,"Oct 28, 2020",182.37,-2.39%
46,"Oct 27, 2020",186.83,-0.57%
47,"Oct 26, 2020",187.91,-1.52%
48,"Oct 23, 2020",190.82,0.33%
49,"Oct 22, 2020",190.2,0.53%
50,"Oct 21, 2020",189.19,-0.56%
51,"Oct 20, 2020",190.26,-0.09%
52,"Oct 19, 2020",190.44,-1.54%
53,"Oct 16, 2020",193.42,0.09%
54,"Oct 15, 2020",193.25,-0.21%
55,"Oct 14, 2020",193.65,-0.65%
56,"Oct 13, 2020",194.92,0.03%
57,"Oct 12, 2020",194.87,1.34%
58,"Oct 09, 2020",192.29,0.29%
59,"Oct 08, 2020",191.73,0.78%
60,"Oct 07, 2020",190.25,1.38%
61,"Oct 06, 2020",187.66,-0.86%
62,"Oct 05, 2020",189.28,1.18%
63,"Oct 02, 2020",187.08,-0.56%
64,"Oct 01, 2020",188.14,0.38%
65,"Sep 30, 2020",187.43,0.37%
66,"Sep 29, 2020",186.74,-0.85%
67,"Sep 28, 2020",188.34,2.75%
68,"Sep 24, 2020",183.3,0.16%
69,"Sep 23, 2020",183.0,-1.43%
70,"Sep 22, 2020",185.66,1.01%
71,"Sep 21, 2020",183.81,-0.75%
72,"Sep 18, 2020",185.19,-1.08%
73,"Sep 17, 2020",187.22,-0.65%
74,"Sep 16, 2020",188.44,0.00%
75,"Sep 15, 2020",188.44,0.76%
76,"Sep 14, 2020",187.02,1.11%
77,"Sep 10, 2020",184.96,-1.59%
78,"Sep 09, 2020",187.95,1.63%
79,"Sep 08, 2020",184.93,-1.97%
80,"Sep 07, 2020",188.65,0.14%
81,"Sep 04, 2020",188.39,-0.84%
82,"Sep 03, 2020",189.99,-2.69%
83,"Sep 02, 2020",195.24,2.14%
84,"Sep 01, 2020",191.15,0.45%
85,"Aug 31, 2020",190.29,-0.57%
86,"Aug 28, 2020",191.38,0.78%
87,"Aug 25, 2020",189.89,1.69%
88,"Aug 20, 2020",186.74,0.18%
89,"Aug 19, 2020",186.4,-0.03%
90,"Aug 18, 2020",186.45,-0.12%
91,"Aug 17, 2020",186.67,-0.01%
92,"Aug 14, 2020",186.69,-0.17%
93,"Aug 13, 2020",187.01,-0.33%
94,"Aug 12, 2020",187.62,1.13%
95,"Aug 11, 2020",185.52,-0.05%
96,"Aug 10, 2020",185.61,0.40%
97,"Aug 07, 2020",184.87,0.30%
98,"Aug 06, 2020",184.31,0.42%
99,"Aug 05, 2020",183.53,-0.16%
100,"Aug 04, 2020",183.82,0.40%
101,"Aug 03, 2020",183.09,1.58%
102,"Jul 31, 2020",180.24,-0.32%
103,"Jul 30, 2020",180.81,-0.76%
104,"Jul 29, 2020",182.19,0.46%
105,"Jul 28, 2020",181.35,-0.10%
106,"Jul 27, 2020",181.54,-0.42%
107,"Jul 24, 2020",182.3,-0.97%
108,"Jul 23, 2020",184.09,-0.85%
109,"Jul 22, 2020",185.67,-0.64%
110,"Jul 21, 2020",186.87,-0.15%
111,"Jul 20, 2020",187.16,0.68%
112,"Jul 17, 2020",185.9,0.31%
113,"Jul 16, 2020",185.33,-0.46%
114,"Jul 15, 2020",186.19,0.97%
115,"Jul 14, 2020",184.41,0.50%
116,"Jul 13, 2020",183.49,-0.70%
117,"Jul 10, 2020",184.79,0.71%
118,"Jul 09, 2020",183.49,-0.29%
