,Date,Price,Vol.,Change %
0,"Dec 31, 2020",178.36,7.54M,0.37%
1,"Dec 30, 2020",177.7,5.91M,0.77%
2,"Dec 29, 2020",176.35,5.98M,0.36%
3,"Dec 28, 2020",175.71,7.78M,-0.36%
4,"Dec 24, 2020",176.35,3.70M,0.40%
5,"Dec 23, 2020",175.65,6.54M,0.66%
6,"Dec 22, 2020",174.49,9.45M,-0.79%
7,"Dec 21, 2020",175.88,8.17M,-0.32%
8,"Dec 18, 2020",176.44,6.79M,-0.17%
9,"Dec 17, 2020",176.74,9.48M,1.05%
10,"Dec 16, 2020",174.9,8.17M,0.55%
11,"Dec 15, 2020",173.94,6.85M,1.40%
12,"Dec 14, 2020",171.54,7.64M,-0.55%
13,"Dec 11, 2020",172.49,6.08M,0.19%
14,"Dec 10, 2020",172.17,6.56M,-0.19%
15,"Dec 09, 2020",172.5,10.74M,-1.71%
16,"Dec 08, 2020",175.5,6.35M,0.35%
17,"Dec 07, 2020",174.89,10.56M,1.49%
18,"Dec 04, 2020",172.32,10.10M,-0.28%
19,"Dec 03, 2020",172.81,10.46M,0.79%
20,"Dec 02, 2020",171.46,9.20M,0.75%
21,"Dec 01, 2020",170.18,13.56M,2.11%
22,"Nov 30, 2020",166.67,13.21M,-0.67%
23,"Nov 27, 2020",167.79,10.57M,-1.01%
24,"Nov 25, 2020",169.51,10.29M,-0.05%
25,"Nov 24, 2020",169.59,19.50M,-1.53%
26,"Nov 23, 2020",172.23,15.51M,-1.97%
27,"Nov 20, 2020",175.69,6.38M,0.30%
28,"Nov 19, 2020",175.16,6.97M,-0.19%
29,"Nov 18, 2020",175.49,7.38M,-0.57%
30,"Nov 17, 2020",176.5,8.23M,-0.37%
31,"Nov 16, 2020",177.15,8.36M,-0.01%
32,"Nov 13, 2020",177.16,6.47M,0.68%
33,"Nov 12, 2020",175.96,7.18M,0.61%
34,"Nov 11, 2020",174.9,9.01M,-0.43%
35,"Nov 10, 2020",175.66,11.73M,0.33%
36,"Nov 09, 2020",175.08,29.80M,-4.43%
37,"Nov 06, 2020",183.19,10.38M,0.14%
38,"Nov 05, 2020",182.93,16.10M,2.30%
39,"Nov 04, 2020",178.82,11.12M,-0.06%
40,"Nov 03, 2020",178.92,7.58M,0.57%
41,"Nov 02, 2020",177.91,6.50M,0.97%
42,"Oct 30, 2020",176.2,7.30M,0.46%
43,"Oct 29, 2020",175.4,8.47M,-0.41%
44,"Oct 28, 2020",176.13,11.73M,-1.61%
45,"Oct 27, 2020",179.02,5.83M,0.26%
46,"Oct 26, 2020",178.55,5.11M,-0.05%
47,"Oct 23, 2020",178.64,5.92M,-0.11%
48,"Oct 22, 2020",178.83,8.38M,-0.98%
49,"Oct 21, 2020",180.6,7.55M,0.75%
50,"Oct 20, 2020",179.25,7.12M,0.48%
51,"Oct 19, 2020",178.39,6.08M,0.05%
52,"Oct 16, 2020",178.3,7.26M,-0.35%
53,"Oct 15, 2020",178.92,6.82M,0.36%
54,"Oct 14, 2020",178.27,9.10M,0.31%
55,"Oct 13, 2020",177.72,8.38M,-1.57%
56,"Oct 12, 2020",180.56,4.84M,-0.29%
57,"Oct 09, 2020",181.08,15.98M,1.82%
58,"Oct 08, 2020",177.85,6.53M,0.36%
59,"Oct 07, 2020",177.22,6.41M,-0.05%
60,"Oct 06, 2020",177.3,8.63M,-1.18%
61,"Oct 05, 2020",179.41,6.97M,0.49%
62,"Oct 04, 2020",178.54,-,0.00%
63,"Oct 03, 2020",178.54,-,0.00%
64,"Oct 02, 2020",178.54,7.49M,-0.09%
65,"Oct 01, 2020",178.7,10.40M,0.89%
66,"Sep 30, 2020",177.12,8.37M,-0.60%
67,"Sep 29, 2020",178.19,8.76M,0.84%
68,"Sep 28, 2020",176.7,7.11M,1.01%
69,"Sep 27, 2020",174.94,-,0.00%
70,"Sep 26, 2020",174.94,-,0.00%
71,"Sep 25, 2020",174.94,6.78M,-0.28%
72,"Sep 24, 2020",175.44,11.76M,0.37%
73,"Sep 23, 2020",174.79,18.13M,-2.16%
74,"Sep 22, 2020",178.65,7.98M,-0.48%
75,"Sep 21, 2020",179.52,17.44M,-2.01%
76,"Sep 18, 2020",183.2,9.96M,0.13%
77,"Sep 17, 2020",182.96,8.84M,-0.55%
78,"Sep 16, 2020",183.97,12.72M,0.28%
79,"Sep 15, 2020",183.45,7.99M,-0.24%
80,"Sep 14, 2020",183.89,9.71M,0.79%
81,"Sep 13, 2020",182.45,-,0.00%
82,"Sep 11, 2020",182.45,7.66M,-0.01%
83,"Sep 10, 2020",182.46,9.14M,-0.32%
84,"Sep 09, 2020",183.05,8.42M,0.97%
85,"Sep 08, 2020",181.29,13.23M,-0.19%
86,"Sep 04, 2020",181.64,11.57M,0.28%
87,"Sep 03, 2020",181.14,12.18M,-0.81%
88,"Sep 02, 2020",182.62,11.54M,-1.31%
89,"Sep 01, 2020",185.05,10.69M,0.12%
90,"Aug 31, 2020",184.83,10.25M,0.24%
91,"Aug 30, 2020",184.39,-,0.00%
92,"Aug 28, 2020",184.39,13.20M,1.74%
93,"Aug 27, 2020",181.24,16.30M,-1.16%
94,"Aug 26, 2020",183.36,12.72M,1.18%
95,"Aug 25, 2020",181.22,10.06M,0.12%
96,"Aug 24, 2020",181.0,11.61M,-0.57%
97,"Aug 23, 2020",182.03,-,0.00%
98,"Aug 21, 2020",182.03,12.71M,-0.80%
99,"Aug 20, 2020",183.5,16.69M,0.69%
100,"Aug 19, 2020",182.24,24.65M,-3.16%
101,"Aug 18, 2020",188.18,16.29M,0.90%
102,"Aug 17, 2020",186.5,15.71M,2.17%
103,"Aug 14, 2020",182.54,11.79M,-0.43%
