,Date,Price,Vol.,Change %
0,"Dec 31, 2020",89.94,-,0.29%
1,"Dec 30, 2020",89.68,-,-0.34%
2,"Dec 29, 2020",89.99,-,-0.39%
3,"Dec 28, 2020",90.34,-,0.02%
4,"Dec 25, 2020",90.32,-,0.00%
5,"Dec 24, 2020",90.32,-,-0.10%
6,"Dec 23, 2020",90.41,-,-0.26%
7,"Dec 22, 2020",90.65,-,0.68%
8,"Dec 21, 2020",90.04,-,0.02%
9,"Dec 18, 2020",90.02,-,0.22%
10,"Dec 17, 2020",89.82,-,-0.70%
11,"Dec 16, 2020",90.45,-,-0.02%
12,"Dec 15, 2020",90.47,-,-0.26%
13,"Dec 14, 2020",90.71,-,-0.30%
14,"Dec 11, 2020",90.98,-,0.18%
15,"Dec 10, 2020",90.82,-,-0.30%
16,"Dec 09, 2020",91.09,-,0.13%
17,"Dec 08, 2020",90.97,-,0.20%
18,"Dec 07, 2020",90.79,-,0.10%
19,"Dec 04, 2020",90.7,-,-0.01%
20,"Dec 03, 2020",90.71,-,-0.45%
21,"Dec 02, 2020",91.12,-,-0.21%
22,"Dec 01, 2020",91.31,-,-0.61%
23,"Nov 30, 2020",91.87,-,0.09%
24,"Nov 27, 2020",91.79,-,-0.22%
25,"Nov 26, 2020",91.99,-,0.00%
26,"Nov 25, 2020",91.99,-,-0.26%
27,"Nov 24, 2020",92.23,-,-0.29%
28,"Nov 23, 2020",92.5,-,0.12%
29,"Nov 20, 2020",92.39,-,0.11%
30,"Nov 19, 2020",92.29,-,-0.03%
31,"Nov 18, 2020",92.32,-,-0.11%
32,"Nov 17, 2020",92.42,-,-0.24%
33,"Nov 16, 2020",92.64,-,-0.12%
34,"Nov 13, 2020",92.75,-,-0.23%
35,"Nov 12, 2020",92.96,-,-0.09%
36,"Nov 11, 2020",93.04,-,0.31%
37,"Nov 10, 2020",92.75,-,0.03%
38,"Nov 09, 2020",92.72,-,0.53%
39,"Nov 06, 2020",92.23,-,-0.32%
40,"Nov 05, 2020",92.53,-,-0.94%
41,"Nov 04, 2020",93.41,-,-0.15%
42,"Nov 03, 2020",93.55,-,-0.62%
43,"Nov 02, 2020",94.13,-,0.10%
44,"Oct 30, 2020",94.04,-,0.10%
45,"Oct 29, 2020",93.95,-,0.58%
46,"Oct 28, 2020",93.41,-,0.51%
47,"Oct 27, 2020",92.94,-,-0.12%
48,"Oct 26, 2020",93.05,-,0.30%
49,"Oct 23, 2020",92.77,-,-0.19%
50,"Oct 22, 2020",92.95,-,0.37%
51,"Oct 21, 2020",92.61,-,-0.49%
52,"Oct 20, 2020",93.07,-,-0.39%
53,"Oct 19, 2020",93.43,-,-0.27%
